Mental Health Issue,HIV/AIDS,Tobacco Use,Alcohol Use,Access to Mental Health Services,Access to SRH Education,Physical Activity,Overweight/Obesity,Age Group,Education Level,Coping Mechanism
0.33,0.023,0.12,0.16,0.07,0.67,0.46,0.1,26-30,Secondary,Exercise
0.36,0.019,0.11,0.13,0.055,0.72,0.6,0.11,21-25,Tertiary,Seeking Help
0.42,0.031,0.12,0.19,0.047,0.73,0.34,0.23,15-20,Secondary,Substance Use
0.4,0.021,0.19,0.14,0.025,0.61,0.45,0.16,26-30,Secondary,Substance Use
0.27,0.028,0.1,0.22,0.024,0.54,0.42,0.13,15-20,No Formal Education,Seeking Help
0.22,0.013,0.07,0.17,0.073,0.76,0.42,0.06,21-25,Tertiary,Seeking Help
0.38,0.023,0.16,0.18,0.039,0.52,0.32,0.15,21-25,Secondary,Isolation
0.44,0.023,0.11,0.18,0.082,0.72,0.41,0.03,21-25,Tertiary,Socializing
0.42,0.022,0.1,0.15,0.047,0.59,0.43,0.09,26-30,Secondary,Socializing
0.13,0.018,0.08,0.09,0.07,0.52,0.41,0.09,21-25,Tertiary,Socializing
0.42,0.021,0.17,0.17,0.016,0.64,0.5,0.08,21-25,Primary,Isolation
0.33,0.023,0.17,0.12,0.039,0.73,0.33,0.0,26-30,Tertiary,Socializing
0.36,0.02,0.1,0.14,0.033,0.54,0.34,0.05,26-30,Secondary,Exercise
0.15,0.019,0.12,0.12,0.078,0.68,0.33,0.14,26-30,Primary,Isolation
0.31,0.02,0.16,0.15,0.069,0.68,0.33,0.13,21-25,Tertiary,Substance Use
0.32,0.019,0.11,0.14,0.025,0.65,0.48,0.09,21-25,Secondary,Substance Use
0.29,0.023,0.13,0.15,0.055,0.67,0.56,0.07,15-20,Secondary,Substance Use
0.35,0.019,0.15,0.17,0.027,0.53,0.42,0.12,26-30,Secondary,Seeking Help
0.28,0.014,0.11,0.14,0.056,0.63,0.41,0.05,21-25,Secondary,Socializing
0.1,0.012,0.15,0.17,0.093,0.49,0.24,0.05,26-30,Tertiary,Seeking Help
0.23,0.021,0.08,0.19,0.086,0.73,0.49,0.12,21-25,Primary,Seeking Help
0.35,0.019,0.1,0.17,0.027,0.58,0.34,0.08,21-25,Tertiary,Exercise
0.19,0.014,0.13,0.22,0.03,0.86,0.48,0.13,21-25,No Formal Education,Seeking Help
0.25,0.028,0.12,0.16,0.042,0.7,0.44,0.14,21-25,Secondary,Seeking Help
0.42,0.019,0.12,0.12,0.108,0.67,0.46,0.14,15-20,Secondary,Socializing
0.3,0.015,0.11,0.23,0.052,0.6,0.31,0.09,21-25,Secondary,Substance Use
0.36,0.012,0.12,0.13,0.032,0.67,0.33,0.12,21-25,Secondary,Isolation
0.42,0.017,0.07,0.12,0.033,0.75,0.46,0.07,21-25,Secondary,Exercise
0.19,0.017,0.13,0.08,0.066,0.57,0.22,0.15,15-20,Primary,Socializing
0.22,0.02,0.14,0.17,0.064,0.62,0.39,0.06,21-25,Secondary,Seeking Help
0.23,0.028,0.17,0.0,0.027,0.5,0.33,0.11,21-25,Tertiary,Exercise
0.31,0.016,0.16,0.11,0.047,0.69,0.49,0.14,15-20,Secondary,Exercise
0.2,0.021,0.15,0.23,0.018,0.61,0.34,0.08,21-25,Secondary,Socializing
0.45,0.019,0.09,0.13,0.04,0.71,0.33,0.15,21-25,No Formal Education,Seeking Help
0.16,0.027,0.14,0.15,0.015,0.5,0.35,0.05,15-20,Primary,Seeking Help
0.38,0.021,0.12,0.16,0.037,0.52,0.27,0.1,15-20,Secondary,Isolation
0.43,0.026,0.11,0.15,0.057,0.73,0.46,0.13,21-25,Primary,Seeking Help
0.09,0.015,0.11,0.15,0.072,0.69,0.4,0.08,26-30,Secondary,Seeking Help
0.16,0.029,0.13,0.14,0.065,0.65,0.43,0.08,21-25,Tertiary,Seeking Help
0.27,0.017,0.09,0.15,0.058,0.49,0.41,0.13,15-20,Secondary,Exercise
0.34,0.029,0.13,0.17,0.081,0.66,0.52,0.11,15-20,Primary,Seeking Help
0.24,0.006,0.1,0.06,0.044,0.67,0.49,0.05,15-20,Secondary,Exercise
0.23,0.025,0.09,0.21,0.064,0.71,0.33,0.12,21-25,Primary,Isolation
0.29,0.026,0.15,0.2,0.062,0.49,0.47,0.13,21-25,Secondary,Seeking Help
0.22,0.023,0.12,0.22,0.07,0.56,0.47,-0.0,15-20,Primary,Seeking Help
0.08,0.024,0.14,0.18,0.029,0.5,0.46,0.08,21-25,Secondary,Seeking Help
0.24,0.013,0.1,0.11,0.038,0.46,0.35,0.15,15-20,Tertiary,Seeking Help
0.18,0.023,0.1,0.16,0.05,0.64,0.4,0.06,21-25,Tertiary,Seeking Help
0.31,0.014,0.17,0.17,0.069,0.65,0.42,0.07,26-30,Secondary,Socializing
0.23,0.017,0.1,0.09,0.053,0.64,0.36,0.08,21-25,Secondary,Seeking Help
0.19,0.021,0.16,0.17,0.014,0.57,0.44,0.17,21-25,Tertiary,Seeking Help
0.28,0.021,0.11,0.14,0.07,0.75,0.41,0.12,21-25,No Formal Education,Exercise
0.2,0.022,0.12,0.19,0.036,0.58,0.48,0.08,15-20,Secondary,Socializing
0.12,0.02,0.18,0.17,0.054,0.77,0.4,0.1,15-20,Primary,Seeking Help
0.3,0.021,0.12,0.12,0.063,0.68,0.43,0.09,26-30,Secondary,Socializing
0.18,0.022,0.12,0.15,0.018,0.45,0.58,0.13,15-20,Tertiary,Seeking Help
0.35,0.022,0.05,0.16,0.004,0.55,0.67,0.05,15-20,No Formal Education,Seeking Help
0.34,0.02,0.15,0.19,0.046,0.55,0.35,0.11,21-25,Secondary,Seeking Help
0.22,0.02,0.13,0.19,0.068,0.55,0.42,0.17,21-25,Tertiary,Seeking Help
0.43,0.015,0.1,0.11,0.051,0.65,0.37,0.1,21-25,Secondary,Seeking Help
0.36,0.022,0.2,0.2,0.044,0.62,0.48,0.14,15-20,Tertiary,Socializing
0.21,0.03,0.1,0.25,0.064,0.54,0.36,0.08,21-25,Secondary,Substance Use
0.44,0.022,0.1,0.15,0.079,0.43,0.3,0.08,21-25,Secondary,Substance Use
0.0,0.021,0.12,0.05,0.055,0.66,0.41,0.15,15-20,Primary,Seeking Help
0.42,0.009,0.08,0.1,0.081,0.45,0.33,0.17,26-30,Secondary,Seeking Help
0.36,0.017,0.12,0.16,0.029,0.49,0.48,0.06,21-25,Primary,Substance Use
0.23,0.024,0.06,0.21,0.01,0.7,0.43,0.18,26-30,Secondary,Isolation
0.23,0.021,0.15,0.17,0.025,0.68,0.58,0.05,15-20,Secondary,Socializing
0.27,0.023,0.12,0.17,0.065,0.84,0.44,0.07,21-25,Secondary,Socializing
0.28,0.022,0.11,0.16,0.035,0.57,0.34,0.12,26-30,Tertiary,Isolation
0.14,0.022,0.13,0.1,0.055,0.66,0.16,0.08,26-30,Secondary,Socializing
0.33,0.019,0.09,0.17,0.049,0.57,0.25,0.09,15-20,Primary,Seeking Help
0.41,0.023,0.09,0.11,0.056,0.6,0.3,0.11,21-25,Secondary,Socializing
0.42,0.015,0.15,0.22,0.073,0.76,0.52,0.13,26-30,Tertiary,Exercise
0.25,0.014,0.14,0.14,0.047,0.58,0.23,0.1,15-20,Secondary,Exercise
0.32,0.019,0.09,0.18,0.076,0.74,0.23,0.13,26-30,Secondary,Exercise
0.42,0.027,0.14,0.12,0.02,0.47,0.46,0.09,15-20,No Formal Education,Seeking Help
0.29,0.02,0.21,0.16,0.053,0.61,0.35,0.1,21-25,Primary,Isolation
0.45,0.016,0.11,0.19,0.092,0.7,0.19,0.07,21-25,Secondary,Socializing
0.2,0.02,0.16,0.21,0.073,0.58,0.39,0.13,15-20,Primary,Substance Use
0.26,0.011,0.12,0.11,0.064,0.62,0.3,0.15,26-30,Primary,Isolation
0.15,0.019,0.11,0.15,0.044,0.63,0.4,0.06,26-30,Secondary,Seeking Help
0.36,0.016,0.1,0.17,0.061,0.68,0.49,0.09,26-30,Secondary,Isolation
0.21,0.009,0.15,0.12,0.07,0.61,0.41,0.05,26-30,Tertiary,Socializing
0.39,0.012,0.13,0.21,0.048,0.75,0.5,0.17,15-20,No Formal Education,Isolation
0.37,0.021,0.15,0.12,0.08,0.64,0.4,0.05,15-20,Secondary,Exercise
0.47,0.019,0.15,0.15,0.05,0.67,0.33,0.1,26-30,Primary,Socializing
0.34,0.031,0.15,0.15,0.066,0.56,0.31,0.07,21-25,Secondary,Seeking Help
0.31,0.024,0.16,0.2,0.076,0.57,0.4,0.08,21-25,Secondary,Isolation
0.16,0.019,0.11,0.22,0.029,0.8,0.3,0.08,21-25,No Formal Education,Exercise
0.34,0.014,0.13,0.09,0.083,0.38,0.43,0.1,21-25,Tertiary,Isolation
0.44,0.018,0.13,0.17,0.048,0.59,0.33,0.18,15-20,Secondary,Substance Use
0.45,0.029,0.1,0.13,0.014,0.48,0.54,0.1,21-25,Secondary,Exercise
0.27,0.02,0.09,0.25,0.07,0.68,0.49,0.09,15-20,Secondary,Isolation
0.31,0.017,0.17,0.18,0.024,0.67,0.28,0.11,26-30,Secondary,Substance Use
0.41,0.02,0.14,0.14,0.08,0.55,0.28,0.15,21-25,Secondary,Substance Use
0.32,0.016,0.17,0.15,0.016,0.6,0.35,0.13,21-25,Secondary,Seeking Help
0.38,0.023,0.14,0.21,0.018,0.64,0.58,0.06,21-25,Tertiary,Isolation
0.46,0.019,0.11,0.19,0.029,0.76,0.38,0.09,26-30,Tertiary,Seeking Help
0.35,0.027,0.11,0.09,0.034,0.49,0.34,0.1,21-25,Secondary,Seeking Help
0.12,0.018,0.11,0.16,0.048,0.5,0.4,0.04,15-20,Secondary,Socializing
0.42,0.016,0.12,0.09,0.006,0.63,0.37,0.13,21-25,Secondary,Isolation
0.23,0.012,0.12,0.16,0.054,0.67,0.42,0.08,21-25,Secondary,Seeking Help
0.2,0.032,0.14,0.13,0.04,0.68,0.51,0.15,15-20,Secondary,Seeking Help
0.22,0.016,0.08,0.16,0.025,0.64,0.26,0.08,26-30,Secondary,Isolation
0.3,0.019,0.1,0.2,0.053,0.68,0.29,0.14,26-30,Secondary,Substance Use
0.27,0.013,0.07,0.13,0.08,0.49,0.57,0.16,26-30,Tertiary,Socializing
0.21,0.017,0.13,0.2,0.077,0.72,0.46,0.08,26-30,No Formal Education,Socializing
0.19,0.011,0.14,0.13,0.057,0.61,0.44,0.05,21-25,Secondary,Socializing
0.25,0.013,0.14,0.15,0.042,0.62,0.41,0.03,26-30,Secondary,Seeking Help
0.3,0.03,0.09,0.2,0.024,0.67,0.41,0.16,21-25,Tertiary,Seeking Help
0.5,0.019,0.09,0.15,0.027,0.62,0.38,0.11,21-25,Tertiary,Substance Use
0.44,0.017,0.1,0.18,0.081,0.6,0.36,0.17,21-25,Secondary,Exercise
0.25,0.025,0.09,0.12,0.058,0.63,0.43,0.08,21-25,Tertiary,Socializing
0.47,0.014,0.14,0.02,0.049,0.46,0.48,-0.0,26-30,Primary,Isolation
0.29,0.026,0.1,0.19,0.056,0.5,0.4,0.09,26-30,Secondary,Socializing
0.53,0.023,0.13,0.16,0.023,0.58,0.43,0.09,15-20,Tertiary,Seeking Help
0.32,0.025,0.15,0.07,0.059,0.56,0.42,0.09,26-30,Tertiary,Exercise
0.34,0.021,0.11,0.2,0.041,0.65,0.33,0.07,15-20,Secondary,Substance Use
0.33,0.012,0.12,0.16,0.025,0.62,0.37,0.13,15-20,Secondary,Substance Use
0.23,0.017,0.1,0.14,0.042,0.53,0.46,0.05,21-25,Tertiary,Exercise
0.47,0.017,0.14,0.15,0.054,0.78,0.4,0.1,26-30,Secondary,Isolation
0.26,0.025,0.11,0.18,0.05,0.75,0.35,0.12,26-30,No Formal Education,Socializing
0.26,0.019,0.12,0.12,0.069,0.46,0.6,0.12,21-25,No Formal Education,Seeking Help
0.38,0.021,0.15,0.1,0.032,0.72,0.47,0.16,26-30,Primary,Seeking Help
0.15,0.02,0.12,0.1,0.055,0.62,0.28,0.09,15-20,Secondary,Seeking Help
0.3,0.023,0.09,0.2,0.039,0.72,0.35,0.18,15-20,Secondary,Seeking Help
0.26,0.016,0.12,0.04,0.046,0.54,0.39,0.05,21-25,Secondary,Isolation
0.15,0.016,0.12,0.16,0.077,0.66,0.36,0.22,15-20,Secondary,Seeking Help
0.27,0.013,0.13,0.1,0.063,0.57,0.59,0.19,15-20,Secondary,Exercise
0.31,0.011,0.16,0.19,0.061,0.64,0.59,0.12,15-20,Tertiary,Socializing
0.34,0.02,0.08,0.11,0.085,0.61,0.35,0.2,26-30,Secondary,Exercise
0.17,0.015,0.12,0.09,0.024,0.56,0.45,0.12,15-20,Secondary,Seeking Help
0.15,0.026,0.11,0.01,0.054,0.61,0.32,0.2,21-25,Tertiary,Isolation
0.4,0.016,0.14,0.2,0.033,0.65,0.49,0.11,26-30,No Formal Education,Socializing
0.49,0.02,0.13,0.06,0.005,0.74,0.39,0.0,15-20,Secondary,Exercise
0.19,0.023,0.11,0.17,0.046,0.6,0.4,0.12,21-25,Tertiary,Substance Use
0.21,0.026,0.1,0.15,0.064,0.45,0.54,0.1,15-20,Secondary,Socializing
0.23,0.027,0.17,0.07,0.018,0.51,0.23,0.06,15-20,Secondary,Seeking Help
0.2,0.028,0.12,0.22,0.052,0.61,0.58,0.13,21-25,Primary,Socializing
0.26,0.024,0.1,0.04,0.063,0.68,0.49,0.17,26-30,Secondary,Exercise
0.22,0.023,0.04,0.22,0.043,0.5,0.43,0.02,21-25,Secondary,Isolation
0.34,0.022,0.13,0.15,0.02,0.43,0.59,0.07,21-25,Tertiary,Exercise
0.28,0.02,0.12,0.14,0.08,0.5,0.55,0.05,15-20,Secondary,Exercise
0.32,0.029,0.14,0.11,0.013,0.75,0.43,0.08,26-30,Primary,Exercise
0.45,0.021,0.13,0.1,0.05,0.45,0.3,0.19,21-25,Secondary,Isolation
0.41,0.01,0.13,0.06,0.021,0.53,0.3,0.12,26-30,No Formal Education,Seeking Help
0.27,0.021,0.09,0.15,0.072,0.64,0.24,0.11,21-25,Secondary,Substance Use
0.36,0.021,0.09,0.13,0.069,0.73,0.5,0.06,21-25,Secondary,Seeking Help
0.53,0.022,0.14,0.17,0.051,0.42,0.39,0.11,21-25,Primary,Seeking Help
0.13,0.021,0.1,0.16,0.035,0.43,0.41,0.09,21-25,No Formal Education,Seeking Help
0.28,0.027,0.12,0.2,0.076,0.63,0.34,0.1,21-25,Secondary,Exercise
0.27,0.023,0.07,0.16,0.053,0.67,0.37,0.08,21-25,No Formal Education,Seeking Help
0.33,0.019,0.07,0.2,0.024,0.6,0.34,0.16,26-30,Secondary,Exercise
0.24,0.024,0.1,0.18,0.055,0.61,0.43,0.16,21-25,Secondary,Isolation
0.37,0.015,0.12,0.2,0.032,0.71,0.35,0.11,26-30,Secondary,Seeking Help
0.49,0.015,0.13,0.09,0.026,0.55,0.33,0.17,26-30,Secondary,Socializing
0.14,0.027,0.14,0.17,0.028,0.66,0.44,0.13,21-25,Primary,Exercise
0.29,0.018,0.11,0.06,0.071,0.58,0.36,0.09,21-25,Secondary,Seeking Help
0.26,0.015,0.11,0.15,0.031,0.54,0.35,0.12,26-30,Secondary,Substance Use
0.3,0.018,0.13,0.14,0.02,0.5,0.49,0.02,21-25,Secondary,Seeking Help
0.18,0.026,0.12,0.11,0.038,0.54,0.52,0.12,26-30,Secondary,Seeking Help
0.27,0.03,0.12,0.13,0.099,0.78,0.52,0.07,26-30,No Formal Education,Socializing
0.37,0.019,0.16,0.09,0.054,0.54,0.42,0.13,15-20,Tertiary,Seeking Help
0.31,0.022,0.17,0.2,0.073,0.63,0.52,0.0,26-30,Secondary,Isolation
0.42,0.013,0.06,0.15,0.075,0.7,0.52,0.14,21-25,No Formal Education,Seeking Help
0.4,0.022,0.13,0.23,0.079,0.6,0.51,0.1,21-25,Primary,Exercise
0.26,0.021,0.11,0.16,0.065,0.41,0.39,0.06,21-25,Secondary,Isolation
0.32,0.027,0.11,0.15,0.06,0.35,0.42,0.08,21-25,Secondary,Socializing
0.16,0.021,0.11,0.1,0.037,0.66,0.36,0.09,21-25,Primary,Seeking Help
0.27,0.019,0.17,0.13,0.05,0.64,0.53,0.1,26-30,Secondary,Exercise
0.46,0.017,0.13,0.07,0.045,0.75,0.36,0.02,15-20,Primary,Seeking Help
0.24,0.023,0.17,0.15,0.042,0.82,0.51,0.12,21-25,Primary,Seeking Help
0.31,0.031,0.15,0.17,0.054,0.54,0.36,0.0,15-20,Secondary,Socializing
0.2,0.016,0.16,0.16,0.06,0.59,0.33,0.08,15-20,Secondary,Isolation
0.19,0.018,0.12,0.13,0.045,0.51,0.54,0.02,21-25,Secondary,Socializing
0.42,0.009,0.1,0.06,0.026,0.42,0.4,0.12,21-25,Secondary,Socializing
0.29,0.021,0.12,0.13,0.053,0.64,0.27,0.08,15-20,Primary,Seeking Help
0.3,0.021,0.11,0.16,0.053,0.77,0.36,0.05,21-25,No Formal Education,Seeking Help
0.22,0.03,0.13,0.2,0.047,0.58,0.37,0.0,21-25,No Formal Education,Socializing
0.28,0.023,0.05,0.16,0.063,0.7,0.15,0.12,21-25,Secondary,Exercise
0.29,0.017,0.1,0.11,0.079,0.52,0.53,0.1,26-30,Secondary,Seeking Help
0.19,0.03,0.12,0.1,0.043,0.48,0.19,0.12,21-25,Primary,Socializing
0.4,0.018,0.12,0.18,0.063,0.65,0.24,0.03,26-30,Secondary,Seeking Help
0.27,0.022,0.09,0.18,0.074,0.61,0.38,0.15,21-25,Primary,Isolation
0.24,0.01,0.16,0.13,0.057,0.6,0.3,0.03,15-20,Secondary,Socializing
0.21,0.021,0.1,0.18,0.071,0.56,0.54,0.02,21-25,Primary,Isolation
0.28,0.021,0.14,0.1,0.029,0.49,0.4,0.19,15-20,Primary,Isolation
0.25,0.015,0.05,0.13,0.049,0.65,0.37,0.1,21-25,Secondary,Seeking Help
0.32,0.012,0.08,0.11,0.048,0.53,0.32,0.04,26-30,Tertiary,Isolation
0.44,0.024,0.06,0.11,0.035,0.6,0.36,0.1,26-30,Primary,Seeking Help
0.36,0.026,0.09,0.18,0.055,0.63,0.35,0.06,15-20,No Formal Education,Exercise
0.31,0.011,0.1,0.14,0.067,0.47,0.48,0.18,26-30,Secondary,Socializing
0.26,0.012,0.11,0.21,0.052,0.68,0.45,0.08,15-20,Secondary,Exercise
0.37,0.01,0.09,0.16,0.033,0.64,0.31,0.09,21-25,Secondary,Seeking Help
0.2,0.022,0.07,0.17,0.076,0.78,0.44,0.09,21-25,Tertiary,Substance Use
0.25,0.014,0.12,0.1,0.048,0.74,0.41,0.07,26-30,No Formal Education,Exercise
0.28,0.02,0.12,0.18,0.027,0.75,0.37,0.06,21-25,Secondary,Seeking Help
0.23,0.023,0.15,0.18,0.044,0.37,0.44,0.07,21-25,Tertiary,Exercise
0.28,0.017,0.12,0.22,0.031,0.47,0.43,0.11,26-30,Tertiary,Substance Use
0.13,0.019,0.11,0.2,0.054,0.79,0.48,0.13,26-30,Secondary,Seeking Help
0.32,0.02,0.16,0.15,0.047,0.66,0.31,0.13,21-25,Secondary,Exercise
0.62,0.023,0.09,0.18,0.049,0.56,0.29,0.01,15-20,No Formal Education,Socializing
0.34,0.02,0.08,0.17,0.026,0.84,0.68,0.06,15-20,Primary,Isolation
0.32,0.017,0.16,0.21,0.047,0.4,0.49,0.13,21-25,Primary,Isolation
0.18,0.022,0.15,0.21,0.051,0.56,0.43,0.14,21-25,Secondary,Socializing
0.21,0.022,0.18,0.07,0.037,0.58,0.33,0.11,26-30,Primary,Socializing
0.22,0.029,0.14,0.21,0.063,0.58,0.47,0.07,15-20,Secondary,Socializing
0.19,0.023,0.07,0.1,0.06,0.64,0.37,0.04,26-30,Secondary,Isolation
0.35,0.014,0.1,0.12,0.044,0.68,0.3,0.15,15-20,Primary,Seeking Help
0.24,0.015,0.1,0.05,0.074,0.64,0.23,0.09,15-20,No Formal Education,Substance Use
0.25,0.017,0.09,0.24,0.045,0.7,0.37,0.09,21-25,Secondary,Socializing
0.53,0.008,0.17,0.17,0.029,0.29,0.39,0.11,15-20,Secondary,Substance Use
0.24,0.012,0.05,0.11,0.052,0.62,0.29,0.08,15-20,Tertiary,Exercise
0.37,0.021,0.13,0.18,0.046,0.67,0.52,0.12,26-30,Tertiary,Exercise
0.35,0.014,0.12,0.17,0.074,0.62,0.24,0.13,21-25,Secondary,Socializing
0.41,0.03,0.1,0.16,0.053,0.54,0.43,0.11,21-25,Secondary,Seeking Help
0.31,0.02,0.1,0.11,0.08,0.73,0.23,0.07,15-20,Secondary,Socializing
0.36,0.028,0.06,0.17,0.049,0.67,0.36,0.13,15-20,Secondary,Isolation
0.19,0.012,0.16,0.11,0.037,0.56,0.36,0.15,21-25,Primary,Isolation
0.27,0.017,0.12,0.17,0.044,0.57,0.44,0.13,26-30,No Formal Education,Socializing
0.33,0.021,0.07,0.12,0.08,0.65,0.37,0.04,15-20,Primary,Substance Use
0.52,0.023,0.1,0.12,0.057,0.48,0.51,0.03,15-20,Secondary,Socializing
0.28,0.018,0.16,0.22,0.041,0.67,0.42,0.04,15-20,Primary,Isolation
0.31,0.017,0.11,0.1,0.043,0.55,0.36,0.17,15-20,No Formal Education,Substance Use
0.29,0.018,0.14,0.15,0.031,0.52,0.44,0.15,26-30,Tertiary,Exercise
0.5,0.012,0.14,0.21,0.035,0.41,0.42,0.08,15-20,Tertiary,Socializing
0.38,0.017,0.13,0.18,0.053,0.59,0.3,0.03,21-25,Secondary,Seeking Help
0.33,0.015,0.06,0.2,0.025,0.5,0.49,0.12,21-25,Primary,Exercise
0.23,0.016,0.11,0.12,0.099,0.56,0.27,0.01,26-30,Secondary,Exercise
0.34,0.014,0.15,0.13,0.057,0.6,0.37,0.0,21-25,Primary,Socializing
0.36,0.009,0.04,0.14,0.068,0.47,0.27,0.11,21-25,Primary,Isolation
0.27,0.02,0.12,0.18,0.058,0.4,0.43,0.08,21-25,Primary,Seeking Help
0.19,0.025,0.12,0.17,0.048,0.47,0.62,0.13,21-25,Secondary,Isolation
0.19,0.014,0.12,0.25,0.087,0.43,0.33,0.14,21-25,Secondary,Seeking Help
0.2,0.014,0.16,0.14,0.038,0.61,0.51,0.08,26-30,Tertiary,Seeking Help
0.35,0.015,0.12,0.18,0.055,0.62,0.31,0.05,21-25,No Formal Education,Substance Use
0.46,0.02,0.07,0.16,0.05,0.66,0.33,0.13,15-20,No Formal Education,Socializing
0.43,0.023,0.12,0.14,0.08,0.75,0.49,0.0,26-30,Secondary,Seeking Help
0.39,0.017,0.12,0.2,0.08,0.59,0.2,0.12,21-25,Primary,Socializing
0.38,0.012,0.1,0.18,0.069,0.64,0.36,0.23,15-20,Secondary,Seeking Help
0.33,0.023,0.05,0.16,0.059,0.64,0.23,0.09,21-25,No Formal Education,Isolation
0.32,0.018,0.15,0.19,0.078,0.56,0.34,0.1,15-20,Tertiary,Seeking Help
0.25,0.024,0.08,0.18,0.047,0.76,0.46,0.07,15-20,Tertiary,Substance Use
0.31,0.023,0.1,0.07,0.08,0.59,0.41,0.1,21-25,Primary,Seeking Help
0.35,0.018,0.11,0.14,0.077,0.46,0.34,0.17,26-30,Primary,Seeking Help
0.3,0.018,0.14,0.17,0.055,0.68,0.59,0.05,15-20,Secondary,Socializing
0.07,0.015,0.14,0.12,0.06,0.58,0.6,0.08,26-30,Secondary,Isolation
0.22,0.016,0.13,0.13,0.04,0.7,0.52,0.04,21-25,Secondary,Seeking Help
0.32,0.021,0.11,0.13,0.044,0.63,0.17,0.11,21-25,Primary,Seeking Help
0.28,0.022,0.16,0.12,0.06,0.48,0.39,0.08,15-20,No Formal Education,Exercise
0.38,0.025,0.13,0.17,0.062,0.51,0.29,0.06,21-25,Secondary,Seeking Help
0.22,0.019,0.14,0.14,0.054,0.63,0.37,0.08,21-25,Secondary,Seeking Help
0.33,0.022,0.14,0.14,0.028,0.45,0.54,0.06,15-20,Secondary,Exercise
0.42,0.02,0.09,0.11,0.062,0.57,0.28,0.15,21-25,Primary,Isolation
0.3,0.019,0.14,0.05,0.06,0.6,0.65,0.06,21-25,Secondary,Seeking Help
0.28,0.028,0.13,0.11,0.051,0.68,0.55,0.13,15-20,Secondary,Isolation
0.4,0.018,0.1,0.18,0.042,0.63,0.29,0.06,26-30,Tertiary,Seeking Help
0.17,0.023,0.15,0.23,0.047,0.49,0.29,0.18,15-20,Tertiary,Seeking Help
0.26,0.025,0.16,0.21,0.097,0.62,0.32,0.13,21-25,Secondary,Isolation
0.15,0.012,0.12,0.17,0.042,0.63,0.33,0.1,21-25,Secondary,Isolation
0.29,0.029,0.16,0.2,0.044,0.55,0.55,0.09,26-30,Secondary,Exercise
0.4,0.018,0.12,0.28,0.041,0.59,0.58,0.05,15-20,Tertiary,Socializing
0.29,0.006,0.13,0.17,0.066,0.58,0.42,0.17,26-30,Secondary,Socializing
0.19,0.021,0.09,0.12,0.065,0.48,0.33,0.09,21-25,Secondary,Seeking Help
0.41,0.022,0.13,0.17,0.048,0.6,0.46,0.06,15-20,No Formal Education,Socializing
0.33,0.022,0.12,0.26,0.051,0.65,0.45,0.15,21-25,Secondary,Socializing
0.23,0.013,0.1,0.11,0.02,0.59,0.46,0.15,15-20,No Formal Education,Socializing
0.39,0.027,0.15,0.17,0.055,0.62,0.33,0.03,15-20,Primary,Exercise
0.34,0.027,0.12,0.12,0.043,0.72,0.46,0.03,21-25,Secondary,Socializing
0.46,0.017,0.14,0.16,0.06,0.51,0.47,0.04,21-25,Secondary,Exercise
0.29,0.02,0.08,0.23,0.006,0.54,0.3,0.15,21-25,Tertiary,Exercise
0.38,0.015,0.14,0.19,0.034,0.64,0.39,0.07,21-25,Primary,Seeking Help
0.11,0.026,0.12,0.18,0.059,0.57,0.42,0.09,26-30,Secondary,Socializing
0.18,0.024,0.12,0.23,0.046,0.56,0.39,0.05,15-20,Primary,Seeking Help
0.27,0.018,0.12,0.13,0.061,0.61,0.48,0.17,26-30,No Formal Education,Seeking Help
0.33,0.024,0.09,0.17,0.025,0.58,0.46,0.04,15-20,No Formal Education,Seeking Help
0.28,0.014,0.16,0.17,0.04,0.74,0.48,0.15,26-30,Secondary,Isolation
0.26,0.026,0.12,0.12,0.048,0.62,0.57,0.04,15-20,Primary,Seeking Help
0.29,0.019,0.1,0.12,0.086,0.65,0.56,0.16,15-20,Tertiary,Socializing
0.37,0.016,0.11,0.15,0.043,0.49,0.37,0.13,26-30,Secondary,Seeking Help
0.27,0.016,0.14,0.18,0.063,0.5,0.37,0.02,15-20,Tertiary,Seeking Help
0.29,0.018,0.17,0.18,0.062,0.71,0.27,0.09,26-30,Secondary,Substance Use
0.34,0.024,0.07,0.15,0.021,0.57,0.23,0.06,15-20,Secondary,Socializing
0.51,0.022,0.17,0.18,0.07,0.58,0.45,0.12,15-20,Secondary,Seeking Help
0.26,0.017,0.15,0.11,0.088,0.65,0.42,0.09,15-20,Secondary,Isolation
0.43,0.018,0.09,0.16,0.017,0.65,0.25,0.14,21-25,Primary,Isolation
0.23,0.03,0.14,0.23,0.041,0.63,0.29,0.26,26-30,Secondary,Seeking Help
0.36,0.013,0.13,0.12,0.028,0.58,0.07,0.1,21-25,No Formal Education,Isolation
0.2,0.028,0.13,0.1,0.064,0.59,0.42,0.2,15-20,Tertiary,Seeking Help
0.39,0.017,0.16,0.15,0.087,0.72,0.31,0.07,15-20,Tertiary,Seeking Help
0.35,0.027,0.1,0.22,0.068,0.54,0.5,0.11,26-30,Secondary,Seeking Help
0.41,0.017,0.14,0.23,0.022,0.59,0.52,0.05,21-25,Secondary,Exercise
0.19,0.017,0.07,0.07,0.068,0.8,0.38,0.07,15-20,Secondary,Substance Use
0.29,0.023,0.15,0.11,0.084,0.44,0.46,0.1,15-20,Primary,Socializing
